CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
11002,80705,Cusco,CHUMBIVILCAS,LIVITACA,Municipalidad Distrital de Livitaca,NULL,20278211895,Plaza de armas s/n,
11003,80706,Cusco,CHUMBIVILCAS,LLUSCO,Municipalidad Distrital de Llusco,NULL,20209099510,Plaza de armas s/n,
11004,80707,Cusco,CHUMBIVILCAS,QUIÑOTA,Municipalidad Distrital de Quiñota,NULL,20209184380,Plaza de armas s/n,
11005,80708,Cusco,CHUMBIVILCAS,VELILLE,Municipalidad Distrital de Velille,MD-Velille,,Plaza de armas s/n,
11007,80802,Cusco,ESPINAR,CONDOROMA,Municipalidad Distrital de Condoroma,NULL,20147419768,Plaza de armas s/n,
11008,80804,Cusco,ESPINAR,OCORURO,Municipalidad Distrital de Ocoruro,NULL,20278022570,Plaza de armas s/n,
11009,80805,Cusco,ESPINAR,PALLPATA,Municipalidad Distrital de Pallpata,MD-PALLPATA,20222360677,Plaza de armas 100,
11011,80806,Cusco,ESPINAR,PICHIGUA,Municipalidad Distrital de Pichigua,MD-PICHIGUA,20147419504,Plaza de armas s/n,
11013,80807,Cusco,ESPINAR,SUYCKUTAMBO,Municipalidad Distrital de Suyckutambo,NULL,20202175024,Plaza de armas s/n,
11014,80808,Cusco,ESPINAR,ALTO PICHIGUA,Municipalidad Distrital de Alto Pichigua,MD-AP,20317347112,Plaza de armas Accocunca s/n,
11016,80902,Cusco,LA CONVENCION,ECHARATE,Municipalidad Distrital de Echarati,MDE,20159368271,"Plaza de Armas Echarati S/N, La Convención - Cusco",
11017,80903,CUSCO,LA CONVENCION,HUAYOPATA,Municipalidad Distrital de Huayopata,MDH,20202455817,Plaza de Armas de Huyro s/n,
11018,80904,Cusco,LA CONVENCION,MARANURA,Municipalidad Distrital de Maranura,MD-MARANURA,20166106746,Plaza de Armas de Maranura S/N,
11019,80905,Cusco,LA CONVENCION,OCOBAMBA,Municipalidad Distrital de Ocobamba - La Convencion - Cusco,MDO,20277520126,Centro Poblado de Kelccaybamba,
11020,80906,CUSCO,LA CONVENCION,QUELLOUNO,Municipalidad Distrital de Quellouno,MDQ,20170327129,PLaza de armas s/n,
11021,80907,Cusco,LA CONVENCION,QUIMBIRI,Municipalidad Distrital de Kimbiri,MDK,2017819925,Jr. Jose Olaya 151-153,
11022,80908,Cusco,LA CONVENCION,SANTA TERESA,Municipalidad Distrital Santa Teresa,MDST,20159340008,Plaza de armas (solidaridad) s/n,
11023,80909,Cusco,LA CONVENCION,VILCABAMBA,Municipalidad Distrital de Vilcabamba - CUSCO,MDV - VILCABAMBA,20170327391,Plaza de armas s/n,
11024,80910,Cusco,LA CONVENCION,PICHARI,Municipalidad Distrital de Pichari,MDPichari,20317337150,Jr. César Vallejo - Plaza Principal s/n,
11026,81002,Cusco,PARURO,ACCHA,Municipalidad Distrital de Accha,MD-ACCHA,20158906903,Plaza de armas s/n,
11027,81003,Cusco,PARURO,CCAPI,Municipalidad Distrital de Ccapi,NULL,20158907039,Plaza de armas s/n,
11028,81004,Cusco,PARURO,COLCHA,Municipalidad Distrital de Colcha,NULL,20161101240,Mariscal Caceres s/n,
11029,81005,Cusco,PARURO,HUANOQUITE,Municipalidad Distrital de Huanoquite,NULL,20159363121,Plaza de armas s/n,
11030,81006,Cusco,PARURO,OMACHA,Municipalidad Distrital de Omacha,NULL,20159308619,Plaza de armas,
11031,81007,Cusco,PARURO,PACCARITAMBO,Municipalidad Distrital de Paccaritambo,NULL,20195435791,Plaza de armas s/n,
11032,81008,Cusco,PARURO,PILLPINTO,Municipalidad Distrital de Pillpinto,MDP,20216274530,Plaza de Armas s/n Pillpinto,
11033,81009,Cusco,PARURO,YAURISQUE,Municipalidad Distrital de Yaurisque,NULL,20170329415,Jr. Progreso,
11035,81102,Cusco,PAUCARTAMBO,CAICAY,Municipalidad Distrital de Caicay,NULL,20209184461,plaza de armas s/n,
11036,81103,Cusco,PAUCARTAMBO,CHALLABAMBA,Municipalidad Distrital de Challabamba,NULL,20168076640,Plaza de armas s/n,
11037,81104,Cusco,PAUCARTAMBO,COLQUEPATA,Municipalidad Distrital de Colquepata,NULL,20217203997,Plaza de armas Colquepata,
11038,81105,Cusco,PAUCARTAMBO,HUANCARANI,Municipalidad Distrital de Huancarani,NULL,20222954623,Plaza de armas s/n,
11039,81106,Cusco,PAUCARTAMBO,KOSÑIPATA,Municipalidad Distrital de Kosñipata,NULL,20159309933,Coronel Parra s/n,
